hp_id,background_freq,sum_freq_across_diseases
HP:0000446,0.00203135,26.354675
HP:0000447,0.00022773,2.954545
HP:0000448,0.00734185,95.253197
HP:0000451,0.00011947,1.550000
HP:0000452,0.00136835,17.753021
HP:0000453,0.00349348,45.324380
HP:0000454,0.00052901,6.863333
HP:0000455,0.00872968,113.258901
HP:0000456,0.00133267,17.290000
HP:0000457,0.00472892,61.352976
HP:0000458,0.00204876,26.580586
HP:0000460,0.00165081,21.417619
HP:0000463,0.02633534,341.674722
HP:0000464,0.00104401,13.545000
HP:0000465,0.00558543,72.465392
HP:0000466,0.00022310,2.894444
HP:0000467,0.00257887,33.458253
HP:0000468,0.00030446,3.950000
HP:0000470,0.02431647,315.481892
HP:0000471,0.00017882,2.320000
HP:0000472,0.00059430,7.710408
HP:0000473,0.00456598,59.238999
HP:0000474,0.00237306,30.788021
HP:0000475,0.00184616,23.952115
HP:0000476,0.00170426,22.111121
HP:0000478,0.00447815,58.099483
HP:0000479,0.00031685,4.110769
HP:0000480,0.00142212,18.450588
HP:0000481,0.00055842,7.245000
HP:0000482,0.00492707,63.923816
HP:0000483,0.00628721,81.570250
HP:0000484,0.00034454,4.470000
HP:0000485,0.00139277,18.069788
HP:0000486,0.04076016,528.822366
HP:0000488,0.00291957,37.878485
HP:0000490,0.01566049,203.179144
HP:0000491,0.00200691,26.037589
HP:0000492,0.00133575,17.330000
HP:0000493,0.00015415,2.000000
HP:0000494,0.02887298,374.597982
HP:0000495,0.00087329,11.330000
HP:0000496,0.00344420,44.685000
HP:0000498,0.00138688,17.993369
HP:0000499,0.00149127,19.347692
HP:0000501,0.00812500,105.413732
HP:0000502,0.00040388,5.240000
HP:0000503,0.00019616,2.545000
HP:0000504,0.00301025,39.055000
HP:0000505,0.02059044,267.140416
HP:0000506,0.01271339,164.943467
HP:0000508,0.03298553,427.954263
HP:0000509,0.00324182,42.059316
HP:0000510,0.01108575,143.826516
HP:0000511,0.00094644,12.279086
HP:0000512,0.00324922,42.155354
HP:0000514,0.00211118,27.390414
HP:0000517,0.00005164,0.670000
HP:0000518,0.02488662,322.878962
HP:0000519,0.00592994,76.935043
HP:0000520,0.01299306,168.571942
HP:0000522,0.00166124,21.552949
HP:0000523,0.00052903,6.863636
HP:0000524,0.00085822,11.134545
HP:0000525,0.00019346,2.510000
HP:0000526,0.00127678,16.565000
HP:0000527,0.00686170,89.023704
HP:0000528,0.00218896,28.399524
HP:0000529,0.00416731,54.066667
HP:0000531,0.00067653,8.777273
HP:0000532,0.00037074,4.810000
HP:0000533,0.00226142,29.339722
HP:0000534,0.00144372,18.730769
HP:0000537,0.00096236,12.485714
HP:0000538,0.00024241,3.145000
HP:0000539,0.00058502,7.590000
HP:0000540,0.00803165,104.202688
HP:0000541,0.00402923,52.275169
HP:0000542,0.00026592,3.450000
HP:0000543,0.00840057,108.989055
HP:0000544,0.00195148,25.318468
HP:0000545,0.01785229,231.615565
HP:0000546,0.00370645,48.087460
HP:0000548,0.00183707,23.834091
HP:0000549,0.00030446,3.950000
HP:0000550,0.00159842,20.737879
HP:0000551,0.00230696,29.930556
HP:0000552,0.00049766,6.456667
HP:0000553,0.00004432,0.575000
HP:0000554,0.00126109,16.361405
HP:0000555,0.00061680,8.002381
HP:0000556,0.00421204,54.647055
HP:0000557,0.00092411,11.989394
HP:0000558,0.00038667,5.016667
HP:0000559,0.00083231,10.798333
HP:0000561,0.00239145,31.026667
HP:0000563,0.00150163,19.482125
HP:0000564,0.00052284,6.783333
HP:0000565,0.00640503,83.098802
HP:0000567,0.00269375,34.948725
HP:0000568,0.01491050,193.448870
HP:0000570,0.00061932,8.035000
HP:0000571,0.00090878,11.790562
HP:0000572,0.00562020,72.916523
HP:0000573,0.00073390,9.521667
HP:0000574,0.00910780,118.164561
HP:0000575,0.00072680,9.429444
HP:0000576,0.00023509,3.050000
HP:0000577,0.00444277,57.640483
HP:0000579,0.00109085,14.152632
HP:0000580,0.00498544,64.681159
HP:0000581,0.00948452,123.052209
HP:0000582,0.01644818,213.398639
HP:0000584,0.00007708,1.000000
HP:0000585,0.00057294,7.433333
HP:0000586,0.00177082,22.974562
HP:0000587,0.00096578,12.530000
HP:0000588,0.00152124,19.736611
HP:0000589,0.00281212,36.484422
HP:0000590,0.00224378,29.110824
HP:0000591,0.00017728,2.300000
HP:0000592,0.00599486,77.777364
HP:0000593,0.00056266,7.300000
HP:0000594,0.00068667,8.908810
HP:0000597,0.00249130,32.322163
HP:0000598,0.00122283,15.865000
HP:0000599,0.00005550,0.720000
HP:0000600,0.00082396,10.690000
HP:0000601,0.00610961,79.266069
HP:0000602,0.00395858,51.358607
HP:0000603,0.00205052,26.603435
HP:0000605,0.00108743,14.108333
HP:0000606,0.00005550,0.720000
HP:0000607,0.00028775,3.733333
HP:0000608,0.00264015,34.253360
HP:0000609,0.00353650,45.882519
HP:0000610,0.00034338,4.455000
HP:0000612,0.00552710,71.708537
HP:0000613,0.01166424,151.331803
HP:0000614,0.00036920,4.790000
HP:0000615,0.00083166,10.790000
HP:0000616,0.00105226,13.652051
HP:0000617,0.00043172,5.601134
HP:0000618,0.00648828,84.178980
HP:0000619,0.00018036,2.340000
HP:0000620,0.00041236,5.350000
HP:0000621,0.00083603,10.846667
HP:0000622,0.00190394,24.701667
HP:0000623,0.00039309,5.100000
HP:0000625,0.00112536,14.600476
HP:0000627,0.00113132,14.677778
HP:0000629,0.00230672,29.927322
HP:0000630,0.00003854,0.170000
HP:0000631,0.00007708,1.000000
HP:0000632,0.00064706,8.395000
HP:0000633,0.00061600,7.992018
HP:0000634,0.00026592,3.450000
HP:0000635,0.00155885,20.224524
HP:0000636,0.00057051,7.401778
HP:0000637,0.00416988,54.099974
HP:0000639,0.04100006,531.934769
HP:0000640,0.00232026,30.103002
HP:0000641,0.00071870,9.324444
HP:0000642,0.00056729,7.360000
HP:0000643,0.00136676,17.732403
HP:0000646,0.00397327,51.549256
HP:0000647,0.00128719,16.699949
HP:0000648,0.02267161,294.141518
HP:0000649,0.00205154,26.616667
HP:0000650,0.00007708,1.000000
HP:0000651,0.00366814,47.590393
HP:0000652,0.00055940,7.257633
HP:0000653,0.00527492,68.436831
HP:0000654,0.00077463,10.050000
HP:0000656,0.00216304,28.063309
HP:0000657,0.00520538,67.534589
HP:0000658,0.00023534,3.053333
HP:0000659,0.00085075,11.037655
HP:0000660,0.00034299,4.450000
HP:0000661,0.00011562,1.500000
HP:0000662,0.00985757,127.892136
HP:0000664,0.01062359,137.830433
HP:0000666,0.00471187,61.131800
HP:0000667,0.00035404,4.593333
HP:0000668,0.00638497,82.838589
HP:0000670,0.00719469,93.343937
HP:0000674,0.00059712,7.747037
HP:0000675,0.00052361,6.793333
HP:0000676,0.00003854,0.340000
HP:0000677,0.00343400,44.552691
HP:0000678,0.00629981,81.733761
HP:0000679,0.00148185,19.225512
HP:0000680,0.00085243,11.059365
HP:0000682,0.00307461,39.890000
HP:0000683,0.00020425,2.650000
HP:0000684,0.00739313,95.918422
HP:0000685,0.00098233,12.744806
HP:0000687,0.00543168,70.470575
HP:0000689,0.00572351,74.256820
HP:0000690,0.00023894,3.100000
HP:0000691,0.00639798,83.007451
HP:0000692,0.00170685,22.144614
HP:0000694,0.00020425,2.650000
HP:0000695,0.00183508,23.808333
HP:0000696,0.00088343,11.461667
HP:0000698,0.00168364,21.843521
HP:0000699,0.00099833,12.952320
HP:0000700,0.00011947,1.550000
HP:0000703,0.00091610,11.885455
HP:0000704,0.00133801,17.359301
HP:0000705,0.00216176,28.046667
HP:0000706,0.00038451,4.988571
HP:0000707,0.00439307,56.995641
HP:0000708,0.01322827,171.623524
HP:0000709,0.00321714,41.739147
HP:0000710,0.00037387,4.850556
HP:0000711,0.00173613,22.524502
HP:0000712,0.00423485,54.942915
HP:0000713,0.00294305,38.183104
HP:0000716,0.00995177,129.114216
HP:0000717,0.00692500,89.844888
HP:0000718,0.01244420,161.451083
HP:0000719,0.00045848,5.948333
HP:0000721,0.00034685,4.500000
HP:0000722,0.00271936,35.280978
HP:0000723,0.00046127,5.984483
HP:0000725,0.00034042,4.416667
HP:0000726,0.00798395,103.583803
HP:0000727,0.00030831,4.000000
HP:0000728,0.00026977,3.500000
HP:0000729,0.01709832,221.833584
HP:0000732,0.00065516,8.500000
HP:0000733,0.00861361,111.753029
HP:0000734,0.00089679,11.635000
HP:0000736,0.00348820,45.255846
HP:0000737,0.01033623,134.102197
HP:0000738,0.00260238,33.763333
HP:0000739,0.01218500,158.088235
HP:0000740,0.00024279,3.150000
HP:0000741,0.00263999,34.251278
HP:0000742,0.00212673,27.592169
